"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN24LA154","ACC","194071","2024-04-10T14:30:00Z","Council Bluffs","Iowa","United States",,"N675LF","PG675","false","Aviation","",,,"None","0","0","0",,,,"41.256704999999997","-95.758015","DEHAVILLAND","TIGER MOTH DH 82A","AIR","CBF","COUNCIL BLUFFS MUNI","false","1",,,"PERS","091","Substantial","VMC",,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194071/pdf"
"ERA24LA171","ACC","194061","2024-04-09T09:50:00Z","South Kingstown","Rhode Island","United States",,"N331EL","14667","false","Aviation","",,,"None","0","0","0",,,,"41.437413999999997","-71.572542999999996","ROBINSON HELICOPTER COMPANY","R44 II","HELI",,,"false","1",,,"AOBV","091","Substantial","VMC","NANTUCKET HELICOPTERS LLC","Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194061/pdf"
"CEN24LA151","ACC","194054","2024-04-08T15:10:00Z","Clarksville","Arkansas","United States",,"N131N",,"false","Aviation","",,,"Serious","0","4","0",,,,,,"TEMCO","D-16A",,,,"false",,,,,,,,,"Takeoff","In work",,,"",""
"DCA24WA153","INC","194069","2024-04-08T04:00:00Z","Maiquetía","Other Foreign","Venezuela",,"YV3011",,"false","Aviation","",,,"None","0","0","0",,,,,,"BOEING","737",,,,"false",,,,,"NUSC",,,,"Enroute","N/A",,,"","None"
"ANC24LA023","ACC","194057","2024-04-07T19:30:00Z","Deer Park","Washington","United States",,"N19390",,"false","Aviation","",,,"Minor","0","0","1",,,,,,"CESSNA","150L",,,,"false",,,,,"091",,,,"Landing","In work",,,"",""
"ERA24LA168","ACC","194044","2024-04-07T11:25:00Z","Ellington","Connecticut","United States",,"N90JF","20800005","false","Aviation","",,,,,,,,,,"41.925417000000003","-72.457110999999998","CESSNA","208","AIR","7B9",,"false","1",,,"SKYD","091","Substantial",,"Connecticut Parchutists","Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194044/pdf"
"GAA24WA137","ACC","194052","2024-04-06T18:30:00Z","Guatemala City","Other Foreign","Guatemala",,"TG-MLB",,"false","Aviation","",,,"Minor","0","0","3",,,,,,"PIPER","PA28",,,,"false",,,,,"NUSN",,,"Optimum Aviation","Takeoff","N/A",,,"","None"
"ANC24LA021","ACC","194055","2024-04-06T13:50:00Z","Huasana","California","United States",,"N8907B",,"false","Aviation","",,,"Minor","0","0","2",,,,,,"CESSNA","172",,,,"false",,,,,"091",,,"BUENROSTRO JAMES N","Maneuvering","In work",,,"",""
"DCA24WA152","INC","194067","2024-04-06T12:20:00Z","London","Other Foreign","Gabon",,"G-VDIA",,"false","Aviation","",,,"None","0","0","0",,,,,,"BOEING","787",,,,"false",,,,,"NUSC",,,,"Pushback/Tow","N/A",,,"","None"
"CEN24LA149","ACC","194048","2024-04-05T16:00:00Z","Lake Elmo","Minnesota","United States",,"N245EM","12094","false","Aviation","",,,"None","0","0","0",,,,"44.994256999999998","-92.853945999999993","Van's Aircraft","RV-12iS","AIR","21D","LAKE ELMO","false","1",,,"INST","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194048/pdf"
"WPR24LA121","ACC","194060","2024-04-04T20:03:00Z","Nipton","California","United States",,"N743JT",,"false","Aviation","",,,"Minor","0","0","1",,,,,,"ANDERSON THOMAS C","KITFOX SERIES 5",,,,"false",,,,,,,,,"Enroute","In work",,,"",""
"WPR24LA122","ACC","194062","2024-04-04T15:30:00Z","Nordman","Idaho","United States",,"N5281D",,"false","Aviation","",,,"None","0","0","0",,,,,,"CESSNA","180A",,,,"false",,,,,,,,,"Landing","In work",,,"",""
"CEN24FA148","ACC","194033","2024-04-04T04:00:00Z","Antlers","Oklahoma","United States",,"N88DT",,"false","Aviation","",,,"Fatal","3","0","0",,,,,,"FOUTZ","DAVIS DA-3",,,,"false",,,,,,,,,"Unknown","In work",,,"",""
"CEN24LA147","ACC","194032","2024-04-03T11:14:00Z","Bluff Dale","Texas","United States",,"N8946",,"false","Aviation","",,,,,,,,,,,,"BELLANCA","7KCAB",,,,"false",,,,,"091",,,,"Enroute","In work",,,"",""
"DCA24LA143","ACC","194028","2024-04-03T04:00:00Z","Tampa","Florida","United States",,"N567WN",,"false","Aviation","",,,"Serious","0","2","0",,,,,,"BOEING","737-7CT",,,,"false",,,,,"121",,,,"Enroute","In work",,,"",""
"DCA24LA144","ACC","194029","2024-04-03T04:00:00Z","Asheville","North Carolina","United States",,"N899AT",,"false","Aviation","",,,"Serious","0","1","0",,,,,,"BOEING","717-200",,,,"false",,,,,,,,"Delta Air Lines","Enroute","In work",,,"",""
"CEN24LA145","ACC","194020","2024-04-02T11:56:00Z","Alpine","Arkansas","United States",,"N86UM","1137","false","Aviation","",,,"None","0","0","0",,,,"34.240468999999997","-93.364395000000002","MOONEY","M20E","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194020/pdf"
"ERA24FA160","ACC","194019","2024-04-02T10:38:00Z","Mulberry","Florida","United States",,"N622PC","002","false","Aviation","",,,"Fatal","1","0","0",,,,"27.931274999999999","-82.041906999999995","ARTHUR B CANNING","MERLIN LITE","GLI","X49","SOUTH LAKELAND","true","1",,,"PERS","091","Substantial","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194019/pdf"
"CEN24LA144","ACC","194014","2024-04-01T11:27:00Z","Muncie","Indiana","United States",,"N8438B","28-8211002","false","Aviation","",,,"Serious","0","3","0",,,,"40.235157000000001","-85.405945000000003","PIPER","PA28","AIR","MIE","DELAWARE COUNTY RGNL","false","1",,,"PERS","091","Destroyed","IMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194014/pdf"
"DCA24WA140","ACC","194024","2024-04-01T04:00:00Z","Narita",,"Japan",,"JA843J","34859","false","Aviation","",,,"Serious","0","1","3",,,,,,"BOEING","787","AIR",,,"false",,,,,"NUSC","None",,,"Enroute","N/A",,"Prelim","","None"
"DCA24WA146","ACC","194038","2024-03-31T09:21:00Z","Malakal",,"Sudan",,"5Y-IRE",,"false","Aviation","",,,,,,,,,,,,"BOEING","727",,,,"false",,,,,"NUSC",,,,"Landing","N/A",,,"","None"
"DCA24WA137","OCC","194009","2024-03-31T04:00:00Z","Malakal, South Sudan","Other Foreign","Sudan",,"5Y-IRE","21931","false","Aviation","",,,,,,,,,,,,"BOEING","727","AIR","HJMK","Malakal","false",,,"NSCH",,"129","Substantial",,"Safe Air","Landing","N/A",,"Prelim","","None"
"ANC24LA022","ACC","194056","2024-03-30T18:50:00Z","Dale","Oregon","United States",,"N188CG",,"false","Aviation","",,,,,,,,,,,,"CORY GREEN","KITFOX SERIES 7 STI",,,,"false",,,,"INST","091",,,,"Takeoff","In work",,,"",""
"WPR24LA120","ACC","194015","2024-03-30T16:00:00Z","Angelfire","New Mexico","United States",,"N9989R",,"false","Aviation","",,,,,,,,,,,,"BEECRAFT","Bonanza",,,,"false",,,,"PERS",,,,,"Landing","In work",,,"",""
"ERA24FA157","ACC","194006","2024-03-30T14:20:00Z","Fort Pierce North","Florida","United States",,"N595ND",,"false","Aviation","",,,"Fatal","1","1","0",,,,,,"PIPER AIRCRAFT INC","PA-44-180",,,,"false",,,,"INST","091",,,"Aviator College","Takeoff","In work",,,"",""
"CEN24LA142","ACC","194010","2024-03-30T14:10:00Z","Ben Wheeler","Texas","United States",,"N3322U","18254722","false","Aviation","",,,"None","0","0","0",,,,"32.428210999999997","-95.711125999999993","CESSNA","182F","AIR","TA37","Vaca Moo Airport","false","1",,,"SKYD","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194010/pdf"
"ERA24LA159","ACC","194018","2024-03-30T13:40:00Z","Clermont","Florida","United States",,"N20330","(912S) N 223","false","Aviation","",,,"Serious","0","1","0",,,,"28.547079","-81.768557000000001","DTA","VOYAGER II 912S","WSFT",,,"false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194018/pdf"
"CEN24LA143","ACC","194011","2024-03-29T13:20:00Z","Moran","Kansas","United States",,"N910GX","54131","false","Aviation","",,,"None","0","0","0",,,,"37.850000000000001","-95.216667000000001","BELL HELICOPTER TEXTRON CANADA","407","HELI","CNU",,"false","1",,"NSCH","OWRK","135","Substantial","VMC","MED TRANS CORP","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194011/pdf"
"WPR24LA118","ACC","194003","2024-03-28T14:20:00Z","Phoenix","Arizona","United States",,"N458RS","AL-1188","false","Aviation","",,,"None","0","0","0",,,,"33.688305999999997","-112.08255","AMERICAN LEGEND AIRCRAFT CO","AL18","AIR","DVT","PHOENIX DEER VALLEY","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194003/pdf"
"DCA24LA135","ACC","194001","2024-03-28T04:34:00Z","Valdosta","Georgia","United States",,"N6705Y",,"false","Aviation","",,,"Serious","0","1","0",,,,,,"BOEING","757-232",,,,"false",,,"SCHD",,"121",,,"DELTA AIR LINES INC","Enroute","In work",,,"",""
"GAA24WA130","INC","193999","2024-03-26T11:15:00Z","Grenchen",,"Switzerland",,"HB-TDD",,"false","Aviation","",,,"None","0","0","0",,,,,,"CESSNA","172","AIR",,,"false",,,,,"NUSN","Unknown",,,"Initial Climb","N/A",,"Prelim","","None"
"DCA24WA136","OCC","194005","2024-03-26T04:00:00Z","La Paz","Other Foreign","Bolivia",,"CP-3188",,"false","Aviation","",,,,,,,,,,,,"BOEING","737","AIR",,,"false",,,"SCHD",,"129","None",,"Boliviana","Takeoff","N/A",,"Prelim","","None"
"ERA24LA155","ACC","193988","2024-03-25T20:49:00Z","Knoxville","Tennessee","United States",,"N912GB","1MK151","false","Aviation","",,,"Minor","0","0","1",,,,"35.963833000000001","-83.873666999999998","SOUTH CENTRAL AVIATION","SEAREY","AIR",,,"false","1",,,"PERS","091","Substantial",,"WILLIAMS MICHAEL V","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193988/pdf"
"CEN24LA141","ACC","193992","2024-03-25T19:53:00Z","Gonzales","Texas","United States",,"N20MN","425","false","Aviation","",,,"None","0","0","0",,,,"29.532729","-97.466409999999996","Cozy","Mark IV","AIR","T20","Roger M. Dreyer Memorial Airport","false","1",,,"PERS","091","Substantial",,,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193992/pdf"
"CEN24LA140","ACC","193987","2024-03-25T12:00:00Z","San Saba","Texas","United States",,"N498TB","21062782","false","Aviation","",,,"None","0","0","0",,,,"31.235745000000001","-98.717693999999995","CESSNA","T210M","AIR","81R","San Saba Airport","false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193987/pdf"
"ERA24LA153","ACC","193983","2024-03-24T15:10:00Z","Tavernier","Florida","United States",,"N291AG","M01280","false","Aviation","",,,"Minor","0","0","2",,,,"25.004490000000001","-80.535570000000007","DENZIL VELARDE","MTO SPORT","GYRO","FA81","TAVERNAERO PARK","true","1",,,"PERS","091","Substantial","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193983/pdf"
"ERA24LA152","ACC","193982","2024-03-24T13:30:00Z","Opelika","Alabama","United States",,"N863AU","172S12471","false","Aviation","",,,"Minor","0","0","1",,,,"32.614587","-85.421370999999994","CESSNA","172","AIR","AUO","AUBURN UNIVERSITY RGNL","false","1",,,"PERS","091","Substantial","VMC","AUBURN UNIVERSITY","Takeoff, Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193982/pdf"
"DCA24WA132","INC","193994","2024-03-23T17:00:00Z","Panama City",,"Paraguay",,"N372CM",,"false","Aviation","",,,"None","0","0","0",,,,,,"BOEING","767-338",,,,"false",,,"NSCH",,"121",,,"CARGO AIRCRAFT MANAGEMENT INC","Landing","N/A",,,"","None"
"WPR24LA117","ACC","193985","2024-03-22T19:04:00Z","Acton","California","United States",,"N1695H","28-7725155","false","Aviation","",,,"None","0","0","0",,,,"34.41648","-118.19907000000001","PIPER","PA-28-140","AIR",,,"false","1",,,"FLTS","091","Substantial","VMC",,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193985/pdf"
"ERA24LA150","ACC","193979","2024-03-21T15:10:00Z","Chesapeake","Virginia","United States",,"N9269A","19030","false","Aviation","",,,"None","0","0","0",,,,"36.780765000000002","-76.451279999999997","CESSNA","170","AIR","PVG","HAMPTON ROADS EXEC","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193979/pdf"
"GAA24WA122","ACC","193978","2024-03-21T13:00:00Z","Santa Rosa de Osos","Other Foreign","Colombia",,"N",,"false","Aviation","",,,"Fatal","4","0","0",,,,,,"BEECH","C90",,,,"false",,,,"OWRK","NUSC",,,"SKY AMBULANCE S.A.S.","Enroute","N/A",,,"","None"
"WPR24LA116","ACC","193975","2024-03-21T11:00:00Z","Coolidge","Arizona","United States",,"N755LA","40.NC220","false","Aviation","",,,"None","0","0","0",,,,"32.937460999999999","-111.4258","DIAMOND AIRCRAFT IND INC","DA 40 NG","AIR","P08","Coolidge","false","1",,,"INST","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193975/pdf"
"CEN24LA139","ACC","193972","2024-03-20T20:00:00Z","Rochester","Minnesota","United States",,"N5236R","S53A-3091","false","Aviation","",,,"None","0","0","0",,,,"43.959822000000003","-92.465711999999996","AEROSTAR INTERNATIONAL INC","S53A","BALL",,,"false","0",,"NSCH","PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193972/pdf"
"GAA24WA123","ACC","193977","2024-03-20T12:30:00Z","Suben",,"Austria",,"N5050","30049","false","Aviation","",,,"None","0","0","0",,,,"48.402785000000002","13.448221","ROBINSON HELICOPTER","R44","HELI",,"Schärding-Suben Airport","false","1",,,"INST","NUSN","Substantial",,,"Landing","N/A",,"Prelim","","None"
"DCA24WA145","ACC","194037","2024-03-20T04:00:00Z","Tokyo",,"Japan",,"JA891A",,"false","Aviation","",,,,,,,,,,,,"BOEING","787",,,,"false",,,,,,,,,"Enroute","N/A",,,"","None"
"GAA24WA126","INC","193990","2024-03-19T04:00:00Z","Geraldton",,"Australia",,"VH-CKX, VH-KGX",,"false","Aviation","",,,,,,,,,,,,"BEECH, FAIRCHILD","A36, SA226-TC",,,,"false, false",,,,,,,,,"Takeoff","N/A",,,"","None"
"GAA24WA121","ACC","193971","2024-03-19T00:35:00Z","Tabacundo",,"Ecuador",,"HCU0062",,"false","Aviation","",,,"Fatal","1","1","0",,,,,,"RANS","S12",,,,"false",,,,,,,,,"Initial Climb","N/A",,,"",""
"CEN24LA138","ACC","193964","2024-03-18T18:15:00Z","Aitkin","Minnesota","United States",,"N788JN","1427","false","Aviation","",,,"Minor","0","0","1",,,,"46.550530000000002","-93.674102000000005","CIRRUS DESIGN CORP","SR20","AIR","AIT",,"false","1",,,"INST","091","Substantial",,,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193964/pdf"
"ANC24LA019","ACC","193973","2024-03-17T17:00:00Z","Anchorage","Alaska","United States",,"N696AK","1533","false","Aviation","",,,"None","0","0","0",,,,"61.215572999999999","-149.83955","MICHAEL G DARBY","DARD 1","AIR","MRI","MERRILL FLD","true","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193973/pdf"
"GAA24WA114","ACC","193946","2024-03-17T16:45:00Z","Leicestershire",,"United Kingdom",,"G-ARYV",,"false","Aviation","",,,,,,,,,,,,"PIPER","24",,,,"false",,,,,"NUSN",,,,"Landing","N/A",,,"","None"
"GAA24WA117","ACC","193959","2024-03-17T15:42:00Z","Farkashegy",,"Hungary",,"HA-KYT",,"false","Aviation","",,,"None","0","0","0",,,,"47.466999999999999","18.949999999999999","BELLANCA","Citabria","AIR","LHFH",,"false",,,,,"NUSN","Substantial",,,"Landing","N/A",,"Prelim","","None"
"WPR24FA112","ACC","193945","2024-03-17T09:42:00Z","Gila Bend","Arizona","United States",,"N4425L","001","false","Aviation","",,,"Fatal","1","0","1",,,,"32.960099999999997","-112.67359999999999","HOLMES WILLIAM B","AIR CREATION TWIN","WSFT","E63","GILA BEND MUNI","true","1",,,"INST","091","Unknown","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193945/pdf"
"ERA24LA143","ACC","193952","2024-03-17T09:25:00Z","Blackshear","Georgia","United States",,"N729CW","E-2390","false","Aviation","",,,"None","0","0","0",,,,"31.306100000000001","-82.242099999999994","BEECH","A36","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193952/pdf"
"ERA24LA141","ACC","193950","2024-03-16T22:12:00Z","Reidsville","Georgia","United States",,"N469GB",,"false","Aviation","",,,"None","0","0","0",,,,,,"CIRRUS DESIGN CORP","SR22",,,,"false",,,,"PERS","091",,,"TTA HOLDINGS LLC","Enroute","In work",,,"",""
"WPR24LA114","ACC","193957","2024-03-16T20:45:00Z","Oakdale","California","United States",,"N38RK",,"false","Aviation","",,,,,,,,,,,,"MOONEY AIRCRAFT CORP.","M20K",,,,"false",,,,,,,,"RICHTER MICHAEL J","Enroute","In work",,,"",""
"ERA24LA146","ACC","193967","2024-03-16T20:10:00Z","Somerset","Pennsylvania","United States",,"N200AG","MA-285","false","Aviation","",,,"None","0","0","0",,,,"40.038502999999999","-79.015296000000006","BEECH","A23 24","AIR","2G9","Somerset County Airport","false","1",,,"PERS","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193967/pdf"
"CEN24LA137","ACC","193955","2024-03-16T17:45:00Z","Port Lavaca","Texas","United States",,"N280WR","1108","false","Aviation","",,,"None","0","0","0",,,,"28.607309000000001","-96.618289000000004","ENSTROM HELICOPTER CORP","280C","HELI",,,"false","1",,,"PERS","091","Substantial","VMC",,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193955/pdf"
"WPR24LA113","ACC","193956","2024-03-16T13:09:00Z","Asotin","Washington","United States",,"N295P","KA19305429","false","Aviation","",,,"Serious","0","2","0",,,,"46.086312999999997","-116.98281","Kitfox","S7 Super Sport","AIR",,,"false","1",,,"PERS","091","Substantial","VMC","295P LLC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193956/pdf"
"ERA24LA145","ACC","193960","2024-03-15T17:05:00Z","Melbourne","Florida","United States",,"N838ER","172S12961","false","Aviation","",,,"None","0","0","0",,,,"28.09788","-80.635260000000002","TEXTRON AVIATION INC","172S","AIR","MLB","Melbourne Orlando International","false","1",,,"INST","091","Unknown","VMC","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY INC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193960/pdf"
"DCA24LA130","ACC","193963","2024-03-15T00:00:00Z","North Charleston","South Carolina","United States",,"N8520Q",,"false","Aviation","",,,"Serious","0","1","0",,,,,,"BOEING","737-800",,,,"false",,,"SCHD",,"121",,,"SOUTHWEST AIRLINES CO","Enroute","In work",,,"",""
"ANC24LA020","ACC","193974","2024-03-14T17:30:00Z","Houston","Alaska","United States",,"N9041K",,"false","Aviation","",,,,,,,,,,,,"STINSON","108",,,,"false",,,,"PERS","091",,,,"Initial Climb","In work",,,"",""
"ERA24LA142","ACC","193951","2024-03-14T16:30:00Z","Homosassa Springs","Florida","United States",,"N71093","18121","false","Aviation","",,,"None","0","0","0",,,,"28.867611","-82.574111000000002","PIPER","J3C-65","AIR","CGC","CRYSTAL RIVER-CAPT TOM DAVIS FLD","false","1",,,"PERS","091","Substantial","VMC","LUKAS VIVOLO","Standing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193951/pdf"
"ERA24LA144","ACC","193953","2024-03-14T15:42:00Z","Fort Meade","Florida","United States",,"N76TG","7278","false","Aviation","",,,"Minor","0","0","2",,,,"27.751522999999999","-81.797227000000007","Glasair","Sportsman 2+2","AIR",,,"true","1",,,"PERS","091","Destroyed","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193953/pdf"
"WPR24LA111","ACC","193937","2024-03-14T12:48:00Z","Grass Valley","California","United States",,"N1SS","61P06947963331","false","Aviation","",,,"Minor","0","0","1",,,,"39.222988000000001","-121.00515","PIPER","AEROSTAR 601P","AIR","GOO",,"false","2",,,"PERS","091","Substantial","VMC","SHAW SCOTT R","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193937/pdf"
"CEN24LA136","ACC","193936","2024-03-13T18:50:00Z","Grind Stone City","Michigan","United States",,"N4159Y","23877","false","Aviation","",,,"None","0","0","0",,,,"44.046778000000003","-82.914417","BELLANCA","8GCBC","AIR","29C","GRINDSTONE AIR HARBOR","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193936/pdf"
"CEN24LA135","ACC","193935","2024-03-13T13:00:00Z","Knox City","Texas","United States",,"N3040P","1802","false","Aviation","",,,"None","0","0","0",,,,"33.436140000000002","-99.815539000000001","ROBINSON HELICOPTER","R44","HELI","F75","Harrison Field","false","1",,,"PERS","091","Substantial","VMC","CEDAR RIDGE AVIATION LLC","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193935/pdf"
"ERA24LA139","ACC","193933","2024-03-12T20:02:00Z","Front Royal","Virginia","United States",,"N59MK","D-6152","false","Aviation","",,,"None","0","0","0",,,,"38.929366999999999","-78.280131999999995","BEECH","K35","AIR","FRR","FRONT ROYAL-WARREN COUNTY","false","1",,,"AOBV","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193933/pdf"
"CEN24LA134","ACC","193930","2024-03-12T15:00:00Z","Lapeer","Michigan","United States",,"N1103H","T18208637","false","Aviation","",,,"Minor","0","0","1",,,,"43.049999999999997","-83.266666999999998","CESSNA","T182T","AIR","D95","DUPONT/LAPEER","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193930/pdf"
"CEN24LA133","ACC","193927","2024-03-12T10:40:00Z","Falcon","Colorado","United States",,"N2905H","545","false","Aviation","",,,"Minor","0","0","2",,,,"38.942770000000003","-104.5699","SCHWEIZER","SGS 2-33A","GLI","FLY","MEADOW LAKE","false","0",,"NSCH","INST","091","Substantial","VMC",,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193927/pdf"
"WPR24LA109","ACC","193926","2024-03-12T08:55:00Z","Billings","Montana","United States",,"N299AV",,"false","Aviation","",,,,,,,,,,,,"RAYTHEON AIRCRAFT COMPANY","B200",,,,"false",,,,,,,,"TETON LEASING LLC","Enroute","In work",,,"",""
"DCA24WA125","ACC","193929","2024-03-12T06:00:00Z","Auckland",,"New Zealand",,"CC-BGG",,"false","Aviation","",,,"Serious","0","2","11",,,,,,"BOEING","787",,,,"false",,,"SCHD",,"NUSC",,,"LATAM","Enroute","N/A",,,"","None"
"WPR24LA110","ACC","193931","2024-03-11T00:30:00Z","Chino","California","United States",,"N167U","P-99","false","Aviation","",,,"None","0","0","0",,,,"33.973061999999999","-117.636","BEECH","60","AIR","CNO","CHINO","false","2",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193931/pdf"
"WPR24FA105","ACC","193907","2024-03-10T16:03:00Z","Madras","Oregon","United States",,"N3264W","32-88","false","Aviation","",,,"Fatal","2","0","0",,,,"44.585397","-121.04094000000001","PIPER","PA-32-260","AIR",,,"false","1",,,"PERS","091","Destroyed","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193907/pdf"
"ERA24FA136","ACC","193906","2024-03-10T15:52:00Z","Hot Springs","Virginia","United States",,"N1125A","051","false","Aviation","",,,"Fatal","5","0","0",,,,"37.955627","-79.825143999999995","ISRAEL AIRCRAFT INDUSTRIES","1125 WESTWIND ASTRA","AIR","HSP","Ingalls Airport","false","2",,,"PERS","091","Destroyed","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193906/pdf"
"ANC24LA018","ACC","193925","2024-03-10T10:00:00Z","Skwentna","Alaska","United States",,"N7741A","32638","false","Aviation","",,,"None","0","0","0",,,,"61.675814000000003","-151.38557","CESSNA","180","AIR","1AK8","TALAHEIM","false","1",,,"PERS","091","Substantial","VMC",,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193925/pdf"
"DCA24LA124","ACC","193920","2024-03-09T15:31:00Z","Aylett","Virginia","United States",,"N411WN","29821","false","Aviation","",,,"Serious","0","1","1",,,,"37.845999999999997","-77.231999999999999","BOEING","737","AIR",,,"false","2",,"SCHD",,"121","None","IMC","SOUTHWEST AIRLINES CO","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193920/pdf"
